Date,Open,High,Low,Close,Volume
2026-05-01,2479.0,2491.0,2438.0,2474.800048828125,3970110.0
2026-05-03,2479.0,2491.0,2438.0,2474.800048828125,3970110.0
2026-05-04,2494.0,2498.300048828125,2425.0,2431.300048828125,2631147.0
2026-05-05,2430.0,2460.39990234375,2412.199951171875,2427.300048828125,3385505.0
2026-05-06,2441.89990234375,2471.0,2406.5,2435.39990234375,3147119.0
2026-05-07,2438.199951171875,2439.699951171875,2398.0,2401.39990234375,5828092.0
2026-05-08,2398.0,2407.0,2375.10009765625,2394.39990234375,3791556.0
2026-05-11,2371.0,2415.0,2371.0,2392.89990234375,1975011.0
2026-05-12,2375.0,2375.0,2283.0,2300.300048828125,6346740.0
2026-05-13,2306.0,2309.199951171875,2269.0,2272.800048828125,3170464.0
2026-05-14,2265.0,2265.0,2206.39990234375,2246.0,5632733.0
2026-05-15,2252.0,2304.89990234375,2252.0,2264.0,3410145.0
2026-05-18,2264.0,2292.89990234375,2252.199951171875,2283.199951171875,3772966.0
2026-05-19,2300.0,2377.60009765625,2297.10009765625,2327.10009765625,10394397.0
2026-05-20,2323.89990234375,2342.0,2317.800048828125,2327.39990234375,2536699.0
2026-05-21,2331.0,2335.89990234375,2314.0,2327.199951171875,3298732.0
2026-05-22,2331.10009765625,2340.0,2308.10009765625,2317.300048828125,2617083.0
2026-05-25,2325.0,2326.10009765625,2293.0,2308.199951171875,3296957.0
2026-05-26,2308.199951171875,2327.89990234375,2272.39990234375,2276.199951171875,3587055.0
2026-05-27,2275.0,2295.60009765625,2260.89990234375,2284.199951171875,2653592.0
2026-05-28,2275.0,2295.60009765625,2260.89990234375,2289.89990234375,2653592.0
2026-05-29,2291.0,2334.0,2235.0,2258.89990234375,16329061.0
2026-06-01,2284.0,2335.0,2280.0,2297.39990234375,7504740.0
2026-06-02,2320.0,2457.39990234375,2316.199951171875,2446.89990234375,11305173.0
2026-06-03,2393.0,2393.0,2224.800048828125,2241.699951171875,15657862.0
2026-06-04,2241.699951171875,2253.10009765625,2216.60009765625,2241.0,4865423.0
2026-06-05,2262.89990234375,2271.800048828125,2192.0,2198.89990234375,5016598.0
2026-06-08,2170.0,2177.0,2143.300048828125,2151.39990234375,6534600.0
2026-06-09,2174.0,2174.0,2132.800048828125,2151.0,4147784.0
2026-06-10,2151.300048828125,2180.800048828125,2144.800048828125,2153.89990234375,2847680.0
2026-06-11,2127.0,2154.60009765625,2110.0,2135.60009765625,3079260.0
2026-06-12,2150.0,2168.0,2138.0,2161.39990234375,2124114.0
2026-06-15,2192.0,2192.0,2159.300048828125,2162.0,3336203.0
2026-06-16,2167.0,2209.0,2160.60009765625,2199.0,3077998.0
2026-06-17,2209.0,2231.0,2200.699951171875,2223.0,2864465.0
2026-06-18,2209.0,2214.0,2182.0,2203.300048828125,3734356.0
2026-06-19,2105.0,2138.0,2059.89990234375,2125.0,13281105.0
2026-06-22,2132.199951171875,2157.0,2121.0,2127.800048828125,4565124.0
2026-06-23,2111.0,2114.0,2055.0,2059.60009765625,6388466.0
2026-06-24,2061.0,2120.699951171875,2061.0,2109.0,4746298.0
2026-06-25,2133.60009765625,2148.5,2088.0,2094.699951171875,4734515.0
2026-06-26,2133.60009765625,2148.5,2088.0,2095.89990234375,4734515.0
2026-06-29,2090.0,2105.0,2071.0,2097.89990234375,3411781.0
2026-06-30,2090.0,2104.300048828125,2018.800048828125,2031.5,6843774.0
2026-07-01,2039.9000244140625,2052.0,1976.800048828125,1982.5999755859375,4656000.0
2026-07-02,2008.0,2076.89990234375,2002.5,2068.10009765625,6039240.0
